       Year,             Service,   Severity,
        279,   BiologicalService,          1,
        279,      MedicalService,          5,
        279,   NavigationService,          1,
        279,    EmergencyService,          1,
        279,       SocialService,          5,
        280,    TechnicalService,          4,
        280,   NavigationService,          3,
        280,    EmergencyService,          2,
        280,       SocialService,          0,
        281,    TechnicalService,          1,
        281,      MedicalService,          1,
        281,   NavigationService,          4,
        281,    EmergencyService,          3,
        281,       SocialService,          3,
        282,    TechnicalService,          3,
        282,      MedicalService,          0,
        282,   NavigationService,          0,
        282,    EmergencyService,          0,
        282,       SocialService,          5,
        283,    TechnicalService,          1,
        283,      MedicalService,          4,
        283,    EmergencyService,          5,
        283,       SocialService,          3,
        284,    TechnicalService,          2,
        284,   BiologicalService,          0,
        284,      MedicalService,          1,
        284,    EmergencyService,          2,
        284,       SocialService,          2,
        285,    TechnicalService,          0,
        285,      MedicalService,          0,
        285,    EmergencyService,          5,
        285,       SocialService,          2,
        286,    TechnicalService,          3,
        286,   NavigationService,          1,
        286,    EmergencyService,          0,
        287,    TechnicalService,          0,
        287,   NavigationService,          0,
        287,    EmergencyService,          2,
        287,       SocialService,          1,
        288,    TechnicalService,          5,
        288,   BiologicalService,          0,
        288,   NavigationService,          5,
        288,    EmergencyService,          4,
        288,       SocialService,          1,
        289,    TechnicalService,          1,
        289,      MedicalService,          0,
        289,   NavigationService,          0,
        289,    EmergencyService,          1,
        289,       SocialService,          0,
        290,    TechnicalService,          0,
        290,      MedicalService,          4,
        290,   NavigationService,          0,
        290,    EmergencyService,          4,
        290,       SocialService,          3,
        291,    TechnicalService,          0,
        291,      MedicalService,          2,
        291,   NavigationService,          1,
        291,    EmergencyService,          3,
        292,    TechnicalService,          0,
        292,      MedicalService,          0,
        292,   NavigationService,          0,
        292,    EmergencyService,          0,
        292,       SocialService,          1,
        293,    TechnicalService,          4,
        293,   BiologicalService,          5,
        293,      MedicalService,          5,
        293,   NavigationService,          2,
        293,    EmergencyService,          1,
        293,       SocialService,          2,
        294,    TechnicalService,          0,
        294,   NavigationService,          3,
        294,    EmergencyService,          0,
        294,       SocialService,          0,
        295,    TechnicalService,          3,
        295,      MedicalService,          0,
        295,   NavigationService,          0,
        295,    EmergencyService,          1,
        295,       SocialService,          1,
        296,    TechnicalService,          1,
        296,   NavigationService,          0,
        296,    EmergencyService,          1,
        296,       SocialService,          0,
        297,    TechnicalService,          2,
        297,   BiologicalService,          0,
        297,   NavigationService,          0,
        297,    EmergencyService,          4,
        297,       SocialService,          1,
        298,    TechnicalService,          0,
        298,   BiologicalService,          1,
        298,   NavigationService,          2,
        298,    EmergencyService,          0,
        298,       SocialService,          2,
        299,    TechnicalService,          1,
        299,      MedicalService,          0,
        299,   NavigationService,          2,
        299,    EmergencyService,          5,
        299,       SocialService,          0,
        300,    TechnicalService,          1,
        300,   BiologicalService,          3,
        300,      MedicalService,          0,
        300,   NavigationService,          4,
        300,    EmergencyService,          1,
        301,   BiologicalService,          0,
        301,      MedicalService,          1,
        301,   NavigationService,          4,
        301,    EmergencyService,          0,
        301,       SocialService,          2,
